2021-06-13 10:29:21.616104 [47.106693333, 7.216835833] 36.29 1.1872934374527377 None 0 0 Started autonomous drive 
2021-06-13 10:29:21.619260 [47.106693333, 7.216835833] 36.29 1.1872934374527377 (47.106653985807164, 7.216847330313385) 27.0 -82.0 turn_to_on_spot 168.7516251035214 132.46162510352144 2 
2021-06-13 10:29:21.720877 [47.106693333, 7.216835833] 37.33 1.1872934374527377 (47.106653985807164, 7.216847330313385) 27.0 -81.0 turn_to_on_spot 168.7516251035214 131.42162510352136 2 
2021-06-13 10:29:21.822499 [47.106693333, 7.216835833] 38.47 1.1872934374527377 (47.106653985807164, 7.216847330313385) 27.0 -80.0 turn_to_on_spot 168.7516251035214 130.28162510352138 2 
2021-06-13 10:29:21.924205 [47.106693333, 7.216835833] 39.5 1.1872934374527377 (47.106653985807164, 7.216847330313385) 27.0 -80.0 turn_to_on_spot 168.7516251035214 129.2516251035214 2 
2021-06-13 10:29:22.025915 [47.106693333, 7.216835833] 40.78 1.1872934374527377 (47.106653985807164, 7.216847330313385) 26.0 -79.0 turn_to_on_spot 168.7516251035214 127.97162510352143 2 
2021-06-13 10:29:22.128397 [47.106693333, 7.216835833] 42.03 0.0 (47.106653985807164, 7.216847330313385) 26.0 -78.0 turn_to_on_spot 168.7516251035214 126.72162510352143 2 
2021-06-13 10:29:22.230100 [47.106693333, 7.216835833] 44.32 0.0 (47.106653985807164, 7.216847330313385) 26.0 -77.0 turn_to_on_spot 168.7516251035214 124.43162510352136 2 
2021-06-13 10:29:22.331760 [47.106693333, 7.216835833] 47.15 0.0 (47.106653985807164, 7.216847330313385) 25.0 -76.0 turn_to_on_spot 168.7516251035214 121.60162510352143 2 
2021-06-13 10:29:22.433405 [47.106693667, 7.216836] 49.34 0.16171132367196966 (47.106653985807164, 7.216847330313385) 25.0 -74.0 turn_to_on_spot 168.7516251035214 119.41162510352137 2 
2021-06-13 10:29:22.535119 [47.106693667, 7.216836] 51.79 0.16171132367196966 (47.106653985807164, 7.216847330313385) 24.0 -73.0 turn_to_on_spot 168.7516251035214 116.96162510352144 2 
2021-06-13 10:29:22.636749 [47.106693667, 7.216836] 55.77 0.16171132367196966 (47.106653985807164, 7.216847330313385) 24.0 -71.0 turn_to_on_spot 168.7516251035214 112.98162510352142 2 
2021-06-13 10:29:22.738369 [47.106693667, 7.216836] 58.64 0.16171132367196966 (47.106653985807164, 7.216847330313385) 23.0 -69.0 turn_to_on_spot 168.7516251035214 110.11162510352142 2 
2021-06-13 10:29:22.840531 [47.106693667, 7.216836] 61.66 0.16171132367196966 (47.106653985807164, 7.216847330313385) 22.0 -67.0 turn_to_on_spot 168.7516251035214 107.09162510352144 2 
2021-06-13 10:29:22.942769 [47.106693667, 7.216836] 66.27 0.16171132367196966 (47.106653985807164, 7.216847330313385) 22.0 -65.0 turn_to_on_spot 168.7516251035214 102.48162510352142 2 
2021-06-13 10:29:23.044425 [47.106693667, 7.216836] 67.93 0.16171132367196966 (47.106653985807164, 7.216847330313385) 21.0 -64.0 turn_to_on_spot 168.7516251035214 100.82162510352146 2 
